        t / s      omega / (rad/s)
        0.241              0.13013
        0.595              0.28113
        0.794              0.35851
        0.954              0.43164
        1.092              0.48731
        1.214              0.54445
        1.325              0.58623
        1.430              0.61358
        1.529              0.65992
        1.621              0.70763
        1.708              0.73935
        1.792              0.75699
        1.873              0.79079
        1.950              0.84632
        2.023              0.86629
        2.094              0.89341
        2.164              0.90251
        2.232              0.96384
        2.295              1.01647
        2.359              0.95687
        2.422              1.04556
        2.481              1.08260
        2.539              1.07886
        2.596              1.15180
        2.651              1.13524
        2.706              1.13135
        2.760              1.17663
        2.814              1.17738
        2.866              1.24961
        2.916              1.22234
        2.967              1.24634
        3.018              1.25318
        3.067              1.30338
        3.115              1.31469
        3.162              1.35644
        3.209              1.33827
        3.255              1.37274
        3.300              1.39692
        3.345              1.42096
        3.390              1.39298
        3.433              1.47472
        3.477              1.39110
        3.521              1.51837
        3.563              1.46372
        3.605              1.49767
        3.647              1.52224
        3.687              1.62017
        3.727              1.49849
        3.768              1.55286
        3.809              1.56840
        3.849              1.57568
        3.888              1.57825
        3.928              1.61584
        3.966              1.63625
        4.004              1.68197
        4.042              1.67204
        4.079              1.67440
        4.117              1.63774
        4.155              1.67973
        4.192              1.69977
        4.229              1.71195
        4.266              1.73588
        4.302              1.75043
        4.337              1.77431
        4.372              1.79555
        4.408              1.78601
        4.443              1.76241
        4.478              1.78871
        4.513              1.84561
        4.547              1.83151
        4.581              1.83109
        4.615              1.87535
        4.649              1.89315
        4.682              1.87418
        4.715              1.88520
        4.749              1.91013
        4.781              1.91636
        4.814              1.88339
        4.847              1.98810
        4.879              1.97132
        4.911              1.87083
        4.943              2.11171
        4.974              2.01720
        5.005              1.97367
        5.037              2.01262
        5.067              2.08418
        5.098              2.04644
        5.129              1.95209
        5.160              2.15251
        5.190              2.06229
        5.220              2.09908
        5.249              2.14839
        5.279              2.11905
        5.309              2.06074
        5.339              2.17848
        5.368              2.09216
        5.398              2.15984
        5.426              2.35422
        5.454              2.13170
        5.484              2.04185
        5.514              2.17404
        5.542              2.22998
        5.571              2.19209
        5.599              2.24207
        5.627              2.23824
        5.655              2.28596
        5.682              2.27256
        5.710              2.23498
        5.738              2.26234
        5.766              2.31169
        5.793              2.30322
        5.820              2.26732
        5.848              2.27932
        5.875              2.35944
        5.902              2.33915
        5.929              2.34133
        5.956              2.30787
        5.982              2.39917
        6.008              2.47887
        6.035              2.27544
        6.061              2.44168
        6.087              2.48141
        6.112              2.42763
        6.138              2.54793
        6.163              2.46990
        6.188              2.41903
        6.214              2.48073
        6.240              2.45064
        6.265              2.56101
        6.290              2.47750
        6.315              2.49165
        6.340              2.48073
        6.365              2.54545
        6.390              2.54421
        6.414              2.59786
        6.439              2.53630
        6.463              2.57878
        6.488              2.60119
        6.512              2.62171
        6.536              2.54855
        6.560              2.67370
        6.584              2.49997
        6.609              2.70734
        6.632              2.59015
        6.656              2.63479
        6.680              2.65595
        6.703              2.81165
        6.726              2.58312
        6.750              2.65764
        6.774              2.66768
        6.798              2.66632
        6.821              2.65438
        6.845              2.70047
        6.868              2.71999
        6.891              2.77894
        6.913              2.75602
        6.936              2.73908
        6.959              2.66825
        6.983              2.72176
        7.006              2.73992
        7.029              2.74435
        7.052              2.76975
        7.074              2.78066
        7.097              2.80612
        7.119              2.82632
        7.141              2.79563
        7.164              2.75180
        7.187              2.77550
        7.209              2.85690
        7.231              2.81947
        7.253              2.81127
        7.276              2.86146
        7.298              2.87823
        7.319              2.84539
        7.342              2.84230
        7.364              2.87599
        7.385              2.87192
        7.408              2.81014
        7.429              2.95888
        7.451              2.92268
        7.473              2.76463
        7.494              3.10511
        7.515              2.96139
        7.537              2.88246
        7.558              2.93264
        7.579              3.02702
        7.600              2.96111
        7.622              2.81997
        7.643              3.09532
        7.664              2.96125
        7.685              3.00487
        7.706              3.06961
        7.726              3.01844
        7.748              2.92936
        7.768              3.08589
        7.789              2.95846
        7.810              3.04182
        7.830              3.31462
        7.850              2.98943
        7.871              2.85560
        7.893              3.03800
        7.913              3.10082
        7.934              3.04684
        7.954              3.10465
        7.974              3.10219
        7.995              3.14757
        8.015              3.13095
        8.035              3.06467
        8.055              3.10281
        8.075              3.15421
        8.095              3.14726
        8.115              3.08105
        8.136              3.09761
        8.156              3.19544
        8.175              3.16358
        8.195              3.16645
        8.215              3.10296
        8.235              3.22579
        8.254              3.32990
        8.274              3.04698
        8.294              3.24578
        8.313              3.28001
        8.333              3.26671
        8.351              3.39192
        8.370              3.27386
        8.390              3.21753
        8.409              3.28584
        8.428              3.23126
        8.447              3.38388
        8.466              3.25520
        8.485              3.27932
        8.505              3.24981
        8.524              3.33361
        8.543              3.32532
        8.561              3.38789
        8.580              3.30416
        8.599              3.35228
        8.618              3.37788
        8.636              3.39779
        8.655              3.29670
        8.674              3.45800
        8.693              3.23093
        8.711              3.49318
        8.730              3.34123
        8.748              3.39027
        8.767              3.42110
        8.785              3.61331
        8.803              3.31724
        8.821              3.41236
        8.840              3.41812
        8.858              3.41051
        8.877              3.39210
        8.895              3.44870
        8.913              3.46716
        8.931              3.54442
        8.949              3.50058
        8.967              3.48659
        8.985              3.38734
        9.004              3.45230
        9.022              3.47176
        9.040              3.47637
        9.058              3.50116
        9.076              3.51291
        9.094              3.54062
        9.111              3.56089
        9.129              3.52711
        9.147              3.46124
        9.165              3.49202
        9.183              3.58200
        9.201              3.54382
        9.218              3.52394
        9.236              3.58180
        9.253              3.60978
        9.271              3.55344
        9.289              3.54902
        9.306              3.59039
        9.324              3.58016
        9.342              3.49882
        9.359              3.68494
        9.376              3.63169
        9.394              3.43268
        9.411              3.85613
        9.428              3.66709
        9.445              3.57324
        9.463              3.62791
        9.480              3.74200
        9.497              3.65450
        9.515              3.47887
        9.532              3.81470
        9.549              3.64475
        9.566              3.69838
        9.583              3.76622
        9.599              3.70843
        9.617              3.59224
        9.634              3.77822
        9.651              3.62478
        9.668              3.72514
        9.684              4.04480
        9.700              3.65132
        9.718              3.48369
