        t / s      omega / (rad/s)
        0.153              0.20558
        0.423              0.26699
        0.639              0.32138
        0.824              0.35708
        0.992              0.39524
        1.148              0.41073
        1.296              0.43899
        1.436              0.46095
        1.569              0.48162
        1.699              0.48308
        1.824              0.52321
        1.946              0.50664
        2.064              0.56920
        2.175              0.56288
        2.284              0.58802
        2.389              0.61008
        2.488              0.66057
        2.586              0.61972
        2.685              0.65118
        2.780              0.66630
        2.874              0.67807
        2.966              0.68953
        3.055              0.71627
        3.142              0.73313
        3.226              0.76648
        3.307              0.77145
        3.388              0.78223
        3.469              0.77368
        3.549              0.80426
        3.626              0.82111
        3.702              0.83642
        3.776              0.85576
        3.849              0.87158
        3.920              0.89100
        3.990              0.90946
        4.059              0.91125
        4.128              0.90754
        4.197              0.92852
        4.263              0.96418
        4.328              0.96387
        4.393              0.97122
        4.457              0.99895
        4.519              1.01586
        4.581              1.01255
        4.643              1.02372
        4.704              1.04391
        4.764              1.05412
        4.824              1.04178
        4.882              1.10721
        4.939              1.10342
        4.997              1.05227
        5.054              1.19253
        5.107              1.14646
        5.163              1.12689
        5.218              1.15402
        5.271              1.20130
        5.324              1.18368
        5.378              1.13530
        5.431              1.25659
        5.482              1.20977
        5.533              1.23719
        5.583              1.27079
        5.633              1.25986
        5.683              1.23074
        5.733              1.30484
        5.782              1.26090
        5.831              1.30443
        5.877              1.42913
        5.923              1.29837
        5.972              1.24716
        6.021              1.33180
        6.068              1.37107
        6.114              1.35367
        6.160              1.38720
        6.205              1.39286
        6.250              1.42015
        6.294              1.42170
        6.338              1.39552
        6.383              1.42240
        6.427              1.45222
        6.470              1.45454
        6.514              1.43158
        6.557              1.44478
        6.600              1.49828
        6.642              1.49046
        6.684              1.49667
        6.726              1.47434
        6.768              1.54041
        6.808              1.59116
        6.849              1.46793
        6.891              1.57513
        6.930              1.60498
        6.970              1.57410
        7.009              1.65478
        7.047              1.60535
        7.087              1.57734
        7.126              1.62512
        7.165              1.60461
        7.203              1.68279
        7.241              1.62701
        7.279              1.64447
        7.318              1.63667
        7.356              1.68495
        7.393              1.68509
        7.430              1.72388
        7.467              1.68540
        7.504              1.71653
        7.540              1.73138
        7.576              1.74649
        7.613              1.69788
        7.649              1.78337
        7.685              1.66840
        7.721              1.80707
        7.757              1.73148
        7.793              1.75990
        7.828              1.77737
        7.863              1.88114
        7.898              1.73091
        7.933              1.78327
        7.969              1.79166
        8.004              1.79202
        8.039              1.78789
        8.074              1.82011
        8.108              1.83376
        8.142              1.87900
        8.175              1.86009
        8.209              1.85460
        8.244              1.80764
        8.278              1.84794
        8.312              1.85855
        8.346              1.86744
        8.379              1.88435
        8.412              1.89367
        8.445              1.91257
        8.478              1.92836
        8.511              1.91025
        8.544              1.87956
        8.577              1.90244
        8.610              1.95531
        8.642              1.93359
        8.675              1.92990
        8.707              1.96620
        8.739              1.97628
        8.771              1.95970
        8.803              1.95744
        8.835              1.98108
        8.866              1.98289
        8.898              1.93961
        8.930              2.04358
        8.961              2.02110
        8.993              1.91083
        9.024              2.15008
        9.054              2.04971
        9.085              1.99758
        9.116              2.03359
        9.147              2.10056
        9.177              2.05615
        9.208              1.95933
        9.239              2.15281
        9.269              2.06128
        9.299              2.09314
        9.329              2.13954
        9.358              2.10789
        9.388              2.04524
        9.418              2.15732
        9.448              2.07058
        9.478              2.13358
        9.506              2.32066
        9.535              2.10042
        9.565              2.00497
        9.596              2.13452
        9.625              2.18219
        9.654              2.14538
        9.683              2.18751
        9.712              2.18789
        9.740              2.22005
        9.768              2.21418
        9.797              2.16356
        9.826              2.19676
        9.854              2.23172
        9.883              2.22840
        9.911              2.18265
        9.940              2.19707
        9.968              2.26658
        9.996              2.24721
       10.024              2.24199
       10.052              2.20092
       10.080              2.28255
       10.107              2.37855
       10.135              2.16118
       10.163              2.33706
       10.190              2.34579
       10.216              2.32547
       10.243              2.41373
       10.269              2.34622
       10.296              2.29238
       10.324              2.34982
       10.350              2.31519
       10.377              2.41420
