        t / s      omega / (rad/s)
        0.085              0.37039
        0.231              0.50973
        0.345              0.60409
        0.440              0.73235
        0.523              0.78325
        0.599              0.87909
        0.665              1.02668
        0.727              0.98594
        0.791              0.99976
        0.850              1.11818
        0.905              1.19687
        0.957              1.22539
        1.006              1.29545
        1.054              1.33993
        1.100              1.40463
        1.144              1.43764
        1.188              1.44704
        1.230              1.50607
        1.271              1.56676
        1.311              1.59727
        1.350              1.60441
        1.389              1.64550
        1.426              1.73310
        1.462              1.75107
        1.498              1.78065
        1.533              1.77441
        1.567              1.88752
        1.600              1.96608
        1.633              1.83178
        1.666              1.99049
        1.697              2.04958
        1.728              2.02253
        1.758              2.15229
        1.788              2.10414
        1.818              2.08577
        1.847              2.16184
        1.876              2.14861
        1.905              2.27437
        1.933              2.21200
        1.961              2.24857
        1.989              2.25381
        2.016              2.33411
        2.043              2.35088
        2.070              2.41707
        2.096              2.37828
        2.122              2.43431
        2.147              2.47418
        2.173              2.50926
        2.198              2.45571
        2.223              2.59346
        2.248              2.44320
        2.273              2.66169
        2.297              2.56404
        2.321              2.61985
        2.345              2.66237
        2.368              2.82963
        2.391              2.61756
        2.414              2.70722
        2.437              2.73218
        2.460              2.74112
        2.483              2.74411
        2.506              2.80462
        2.528              2.83781
        2.550              2.91577
        2.572              2.89708
        2.593              2.89241
        2.615              2.83448
        2.637              2.90283
        2.659              2.93346
        2.680              2.95610
        2.701              2.98659
        2.722              3.01815
        2.743              3.04876
        2.763              3.08832
        2.784              3.06557
        2.804              3.02309
        2.825              3.07021
        2.845              3.15833
        2.865              3.13987
        2.885              3.13501
        2.905              3.20277
        2.924              3.23509
        2.944              3.20032
        2.964              3.21753
        2.983              3.25604
        3.002              3.26739
        3.022              3.20751
        3.041              3.38187
        3.059              3.35318
        3.079              3.17991
        3.097              3.57935
        3.115              3.42427
        3.134              3.34354
        3.152              3.40497
        3.171              3.53107
        3.189              3.45838
        3.207              3.29930
        3.225              3.63694
        3.243              3.48176
        3.261              3.54542
        3.278              3.62582
        3.296              3.57711
        3.314              3.47733
        3.331              3.66987
        3.349              3.53067
        3.366              3.63926
        3.383              3.96841
        3.399              3.58896
        3.417              3.43625
        3.435              3.65727
        3.452              3.74758
        3.469              3.68688
        3.486              3.76464
        3.503              3.76938
        3.519              3.82608
        3.536              3.81354
        3.552              3.74579
        3.569              3.79970
        3.585              3.85803
        3.601              3.86562
        3.618              3.79970
        3.634              3.80938
        3.651              3.94326
        3.667              3.92038
        3.683              3.91086
        3.699              3.82748
        3.715              4.03959
        3.730              4.13531
        3.746              3.78939
        3.762              4.07549
        3.777              4.14650
        3.793              4.04375
        3.808              4.24540
        3.823              4.11688
        3.838              4.03544
        3.854              4.13476
        3.869              4.07549
        3.884              4.26760
        3.899              4.11904
        3.914              4.14923
        3.930              4.12012
        3.945              4.23538
        3.959              4.22712
        3.974              4.31537
        3.989              4.21238
        4.004              4.28418
        4.018              4.31597
        4.033              4.35365
        4.047              4.22683
        4.062              4.44198
        4.077              4.15390
        4.091              4.49441
        4.105              4.30798
        4.120              4.37975
        4.134              4.41949
        4.148              4.67429
        4.162              4.29855
        4.176              4.42571
        4.191              4.43947
        4.205              4.43383
        4.219              4.41297
        4.233              4.49634
        4.247              4.52614
        4.261              4.63498
        4.274              4.58092
        4.288              4.56262
        4.302              4.44010
        4.316              4.53823
        4.330              4.56096
        4.344              4.57491
        4.357              4.61490
        4.371              4.62986
        4.384              4.67464
        4.398              4.71109
        4.411              4.66146
        4.425              4.57991
        4.438              4.62952
        4.452              4.75891
        4.465              4.70087
        4.478              4.68161
        4.492              4.76866
        4.505              4.80329
        4.518              4.73488
        4.531              4.73631
        4.545              4.78245
        4.558              4.78100
        4.571              4.68894
        4.584              4.92915
        4.597              4.86089
        4.610              4.60205
        4.623              5.17475
        4.635              4.92567
        4.648              4.79706
        4.661              4.87976
        4.674              5.03864
        4.687              4.92181
        4.700              4.68685
        4.713              5.14593
        4.725              4.92143
        4.738              4.99498
