        t / s      omega / (rad/s)
        0.248              0.12668
        0.664              0.18644
        0.976              0.21904
        1.246              0.24898
        1.482              0.28551
        1.695              0.30685
        1.888              0.34552
        2.068              0.35422
        2.240              0.37535
        2.404              0.39076
        2.560              0.41842
        2.707              0.43204
        2.849              0.45366
        2.988              0.45410
        3.124              0.47168
        3.255              0.48339
        3.384              0.49454
        3.511              0.48834
        3.636              0.52131
        3.760              0.49377
        3.882              0.54220
        3.999              0.52644
        4.117              0.54108
        4.232              0.55180
        4.342              0.58762
        4.454              0.54380
        4.567              0.56451
        4.678              0.57097
        4.787              0.57443
        4.897              0.57653
        5.004              0.59042
        5.110              0.59716
        5.214              0.61347
        5.317              0.61011
        5.420              0.61059
        5.524              0.59728
        5.627              0.61338
        5.729              0.62032
        5.830              0.62511
        5.930              0.63392
        6.029              0.64018
        6.126              0.65047
        6.222              0.65872
        6.318              0.65569
        6.414              0.64786
        6.510              0.65833
        6.604              0.68043
        6.697              0.67692
        6.789              0.67879
        6.881              0.69798
        6.970              0.70743
        7.059              0.70340
        7.148              0.70864
        7.236              0.72048
        7.323              0.72601
        7.410              0.71532
        7.496              0.75664
        7.579              0.75283
        7.664              0.71721
        7.747              0.81109
        7.826              0.77894
        7.907              0.76461
        7.989              0.78224
        8.067              0.81312
        8.145              0.80043
        8.225              0.76691
        8.303              0.84882
        8.379              0.81673
        8.455              0.83574
        8.529              0.85755
        8.603              0.84938
        8.678              0.82839
        8.751              0.87845
        8.824              0.84791
        8.897              0.87787
        8.966              0.96117
        9.034              0.87243
        9.108              0.83810
        9.180              0.89569
        9.250              0.92084
        9.318              0.90951
        9.386              0.93197
        9.454              0.93723
        9.520              0.95611
        9.586              0.95655
        9.652              0.94151
        9.718              0.95877
        9.783              0.97918
        9.847              0.98176
        9.912              0.96636
        9.976              0.97635
       10.039              1.01174
       10.102              1.00639
       10.164              1.01113
       10.227              0.99714
       10.288              1.03801
       10.348              1.07075
       10.409              0.98351
       10.471              1.06194
       10.529              1.08264
       10.588              1.06024
       10.646              1.11355
       10.703              1.08053
       10.762              1.06221
       10.820              1.09140
       10.878              1.07866
       10.935              1.13121
       10.991              1.09442
       11.049              1.10293
       11.106              1.09610
       11.162              1.12562
       11.218              1.12264
       11.274              1.14544
       11.329              1.11791
       11.385              1.13587
       11.440              1.14538
       11.495              1.15328
       11.550              1.11986
       11.605              1.17522
       11.660              1.09761
       11.715              1.18750
       11.769              1.13655
       11.824              1.15421
       11.878              1.16513
       11.931              1.23180
       11.984              1.13190
       12.039              1.16493
       12.093              1.16768
       12.147              1.16461
       12.201              1.15847
       12.254              1.17802
       12.308              1.18472
       12.360              1.21168
       12.412              1.19703
       12.465              1.19135
       12.518              1.15843
       12.572              1.18221
       12.625              1.18876
       12.678              1.19183
       12.730              1.20252
       12.782              1.20684
       12.834              1.21779
       12.886              1.22709
       12.937              1.21421
       12.989              1.19429
       13.042              1.20805
       13.093              1.24132
       13.144              1.22805
       13.195              1.22358
       13.246              1.24810
       13.296              1.25616
       13.346              1.24068
       13.397              1.24186
       13.447              1.25558
       13.497              1.25634
       13.548              1.23045
       13.598              1.29572
       13.646              1.28179
       13.697              1.21316
       13.746              1.36529
       13.793              1.30289
       13.842              1.27046
       13.891              1.29265
       13.939              1.33733
       13.986              1.30952
       14.035              1.24760
       14.083              1.37325
       14.130              1.31401
       14.177              1.33705
       14.224              1.36576
       14.270              1.34647
       14.318              1.30744
       14.364              1.38010
       14.411              1.32529
