        t / s      omega / (rad/s)
        0.321              0.09794
        0.821              0.17527
        1.142              0.22194
        1.403              0.26298
        1.630              0.29111
        1.837              0.31636
        2.031              0.33116
        2.213              0.36124
        2.382              0.38490
        2.541              0.40557
        2.692              0.42700
        2.836              0.44530
        2.974              0.46664
        3.106              0.48551
        3.234              0.49501
        3.361              0.49886
        3.484              0.51640
        3.603              0.54328
        3.718              0.54873
        3.831              0.55983
        3.941              0.58346
        4.048              0.59988
        4.152              0.60437
        4.255              0.61667
        4.355              0.63537
        4.453              0.64835
        4.550              0.64723
        4.644              0.69318
        4.735              0.69673
        4.826              0.67103
        4.914              0.76662
        4.997              0.74302
        5.082              0.73544
        5.167              0.75901
        5.247              0.79560
        5.327              0.78819
        5.408              0.76057
        5.486              0.84666
        5.562              0.81895
        5.637              0.84305
        5.711              0.86955
        5.783              0.86669
        5.856              0.84965
        5.928              0.90472
        5.999              0.87818
        6.069              0.91337
        6.135              1.00322
        6.200              0.91457
        6.270              0.88157
        6.339              0.94613
        6.404              0.97641
        6.469              0.96781
        6.533              0.99424
        6.596              1.00226
        6.658              1.02524
        6.719              1.02809
        6.781              1.01397
        6.842              1.03575
        6.902              1.06018
        6.961              1.06484
        7.021              1.05017
        7.080              1.06309
        7.138              1.10444
        7.195              1.09992
        7.252              1.10752
        7.309              1.09351
        7.365              1.14317
        7.419              1.17702
        7.475              1.08890
        7.531              1.17254
        7.584              1.19721
        7.637              1.17599
        7.689              1.23714
        7.740              1.20291
        7.793              1.18537
        7.845              1.21956
        7.897              1.20624
        7.948              1.26649
        7.998              1.22384
        8.049              1.23498
        8.100              1.22812
        8.151              1.26458
        8.201              1.26275
        8.250              1.29145
        8.299              1.26141
        8.348              1.28443
        8.397              1.29515
        8.445              1.30788
        8.494              1.27200
        8.542              1.33648
        8.591              1.25118
        8.639              1.35571
        8.687              1.29874
        8.735              1.32094
        8.782              1.33483
        8.828              1.41316
        8.874              1.29990
        8.922              1.33910
        8.968              1.34477
        9.015              1.34322
        9.062              1.33784
        9.109              1.36268
        9.155              1.37143
        9.200              1.40438
        9.245              1.39055
        9.290              1.38585
        9.336              1.34832
        9.382              1.37847
        9.428              1.38784
        9.473              1.39258
        9.518              1.40491
        9.562              1.41246
        9.607              1.42670
        9.650              1.43852
        9.694              1.42447
        9.739              1.40372
        9.783              1.42019
        9.827              1.46087
        9.870              1.44604
        9.914              1.44202
        9.957              1.47096
        9.999              1.48143
       10.042              1.46345
       10.085              1.46683
       10.127              1.48381
       10.170              1.48588
       10.213              1.45538
       10.255              1.53361
       10.296              1.51768
       10.338              1.43734
       10.380              1.61817
       10.419              1.54450
       10.461              1.50723
       10.502              1.53469
       10.542              1.58783
       10.582              1.55436
       10.624              1.48192
       10.664              1.63102
       10.703              1.56182
       10.743              1.58935
       10.782              1.62419
       10.821              1.60081
       10.861              1.55517
       10.900              1.64108
       10.940              1.57778
       10.979              1.62432
       11.016              1.77151
       11.053              1.60081
       11.093              1.53151
       11.133              1.63039
       11.171              1.66871
       11.209              1.64155
       11.247              1.67369
       11.285              1.67449
       11.322              1.70175
       11.359              1.69477
       11.396              1.65989
       11.434              1.68342
       11.471              1.71325
       11.508              1.70976
       11.545              1.67485
       11.582              1.69016
       11.619              1.74824
       11.655              1.73062
       11.691              1.73176
       11.728              1.70018
       11.764              1.77792
       11.799              1.82810
       11.835              1.67811
       11.871              1.79797
       11.905              1.82842
       11.940              1.78662
       11.975              1.87329
       12.009              1.81359
       12.044              1.77954
       12.079              1.82174
       12.113              1.79509
       12.148              1.87900
       12.182              1.81406
